score,job_id,title,url,matching_skills,gaps,verdict
3,2026-10125,2026-10125 - Doctorant F/H Model-Checking Linear Dynamical Systems under Floating-Point Rounding,https://jobs.inria.fr/public/classic/en/offres/2026-10125,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10126,"2026-10126 - Orchestration of AI Services on Telco Cloud Platforms: Dynamic Models, Energy Efficiency and Edge-Cloud Deployment",https://jobs.inria.fr/public/classic/en/offres/2026-10126,"security, distributed system",,FM adjacent with relevant skills
3,2026-10127,2026-10127 - PhD Position F/M University of Toulouse - The levers of sobriety and conviviality and their influence on algorithmic decision models,https://jobs.inria.fr/public/classic/en/offres/2026-10127,"security, distributed system",non-Paris location,FM adjacent with relevant skills
3,2026-10138,2026-10138 - Engineer Position - Development of a Myoelectric Hand Prosthesis - M/F,https://jobs.inria.fr/public/classic/en/offres/2026-10138,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10152,2026-10152 - Post-Doctoral Research Visit F/M Adapting vision-language and multi-modal large language models,https://jobs.inria.fr/public/classic/en/offres/2026-10152,"security, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10159,2026-10159 - PhD Position F/M Multi-Perspective Data Interlinking: Combining Standpoint Logic and Link Keys for the Digital Twin of France,https://jobs.inria.fr/public/classic/en/offres/2026-10159,"security, consensus, verification",non-Paris location,FM adjacent with relevant skills
3,2026-10163,2026-10163 - Post-Doctoral Research Visit F/M Study of Fourier Analysis in Spheres and Applications to Cryptography,https://jobs.inria.fr/public/classic/en/offres/2026-10163,"security, cryptography",,FM adjacent with relevant skills
2,2024-08080,2024-08080 - Inverse design of an optical power splitter using a global optimization method,https://jobs.inria.fr/public/classic/en/offres/2024-08080,security,non-Paris location,Some technical relevance
2,2024-08283,2024-08283 - Responsable du service comptabilité de la paie (H/F),https://jobs.inria.fr/public/classic/en/offres/2024-08283,security,non-Paris location,Some technical relevance
2,2024-08398,2024-08398 - Post-Doctoral Research Visit F/M Computational design of next-generation optical metasurfaces,https://jobs.inria.fr/public/classic/en/offres/2024-08398,security,non-Paris location,Some technical relevance
2,2025-08689,2025-08689 - Development and application of  AI-based numerical modeling tools for nanophotonics,https://jobs.inria.fr/public/classic/en/offres/2025-08689,security,non-Paris location,Some technical relevance
2,2025-09212,2025-09212 - Development and application of a software platform for nanophotonics,https://jobs.inria.fr/public/classic/en/offres/2025-09212,security,non-Paris location,Some technical relevance
2,2025-09321,2025-09321 - Post-Doctoral Research Visit F/M Operator learning for the time-harmonic Maxwell equations,https://jobs.inria.fr/public/classic/en/offres/2025-09321,security,non-Paris location,Some technical relevance
2,2026-09808,2026-09808 - PhD Position F/M Dynamic Approximate Computing for Energy-Efficient AI Hardware Accelerators,https://jobs.inria.fr/public/classic/en/offres/2026-09808,security,non-Paris location,Some technical relevance
2,2026-09830,2026-09830 - PhD Position F/M Visuo-tactile control for manipulating deformable objects with robotic arms combining tactile perception and photometric visual servoing,https://jobs.inria.fr/public/classic/en/offres/2026-09830,security,non-Paris location,Some technical relevance
2,2026-09857,2026-09857 - Responsable du volet projets de transfert du PTCC (F/H),https://jobs.inria.fr/public/classic/en/offres/2026-09857,security,non-Paris location,Some technical relevance
2,2026-09875,2026-09875 - Responsable du pôle pilotage des processus et des campagnes,https://jobs.inria.fr/public/classic/en/offres/2026-09875,security,non-Paris location,Some technical relevance
2,2026-09909,2026-09909 - Post-Doctoral Research Visit F/M Robust optimisation methods for sparse-sensor placement for fault detection in vibrating mechanical structures,https://jobs.inria.fr/public/classic/en/offres/2026-09909,security,,Some technical relevance
2,2026-09924,2026-09924 - Post-Doctoral Research Visit F/M From AI audits to AI security: an information gain hierarchy,https://jobs.inria.fr/public/classic/en/offres/2026-09924,security,non-Paris location,Some technical relevance
2,2026-09926,2026-09926 - PhD Position F/M Multi-Fidelity Scientific Machine Learning with Heterogeneous Inputs,https://jobs.inria.fr/public/classic/en/offres/2026-09926,security,,Some technical relevance
2,2026-09937,2026-09937 - Post-Doctoral Research Visit F/M Representation Learning and Clustering of Interacting Timed Systems,https://jobs.inria.fr/public/classic/en/offres/2026-09937,security,non-Paris location,Some technical relevance
2,2026-09954,2026-09954 - Technicien Services Techniques généraux (H/F),https://jobs.inria.fr/public/classic/en/offres/2026-09954,security,non-Paris location,Some technical relevance
2,2026-09962,"2026-09962 - Post-Doctoral Research Visit F/M Postdoctoral position in web security, privacy, and online tracking",https://jobs.inria.fr/public/classic/en/offres/2026-09962,security,non-Paris location,Some technical relevance
2,2026-09979,2026-09979 - Doctorant F/H Analyse biomécanique in situ et reconstruction 3D holistique (athlète-matériel-environnement) pour l’optimisation de la performance en voile de compétition.,https://jobs.inria.fr/public/classic/en/offres/2026-09979,security,non-Paris location,Some technical relevance
2,2026-09988,2026-09988 - Post-Doctoral Research Visit F/M Large Physics Models,https://jobs.inria.fr/public/classic/en/offres/2026-09988,security,,Some technical relevance
2,2026-09993,2026-09993 - Responsable du service support recettes dépenses (F/H),https://jobs.inria.fr/public/classic/en/offres/2026-09993,security,non-Paris location,Some technical relevance
2,2026-09997,2026-09997 - PhD Position F/M Generalized Wasserstein barycenters and applications,https://jobs.inria.fr/public/classic/en/offres/2026-09997,security,,Some technical relevance
2,2026-09999,2026-09999 - Acheteur-se Public (H/F),https://jobs.inria.fr/public/classic/en/offres/2026-09999,security,,Some technical relevance
2,2026-10006,2026-10006 - Research engineer in biostatistics,https://jobs.inria.fr/public/classic/en/offres/2026-10006,security,non-Paris location,Some technical relevance
2,2026-10011,2026-10011 - Research and Development Software Engineer (Python) - Open Source Project (AI &amp; Privacy) - Montpellier,https://jobs.inria.fr/public/classic/en/offres/2026-10011,security,non-Paris location,Some technical relevance
2,2026-10022,"2026-10022 - Post-Doctoral Research Visit F/M Postdoc - Visualization for Storytelling, Collaboration, and Situation Awareness across Time and Place",https://jobs.inria.fr/public/classic/en/offres/2026-10022,security,,Some technical relevance
2,2026-10027,2026-10027 - Ingénieur(e) R&amp;D - Navigation Autonome et Systèmes Embarqués,https://jobs.inria.fr/public/classic/en/offres/2026-10027,security,non-Paris location,Some technical relevance
2,2026-10034,2026-10034 - Post-Doctoral Research Visit F/M Post-doctoral Researcher - Expressivity of Implicit neural networks for data-driven stability and safety certificates,https://jobs.inria.fr/public/classic/en/offres/2026-10034,security,,Some technical relevance
2,2026-10035,"2026-10035 - Post-Doctoral Research Visit F/M [DRI Campaign] Towards more engaging, dynamic and collaborative experiences for scientific presentations",https://jobs.inria.fr/public/classic/en/offres/2026-10035,security,non-Paris location,Some technical relevance
2,2026-10040,2026-10040 - PhD Position F/M PhD Position - Structural Methods for Mixed Model/Data Digital Twin Engineering,https://jobs.inria.fr/public/classic/en/offres/2026-10040,security,non-Paris location,Some technical relevance
2,2026-10047,2026-10047 - PhD Position F/M Filippov Solutions for Discontinuous Differential-Algebraic Equations (DAEs): Control and Simulation,https://jobs.inria.fr/public/classic/en/offres/2026-10047,security,non-Paris location,Some technical relevance
2,2026-10049,2026-10049 - Research Engineer Position - Java Developer - Corese Library,https://jobs.inria.fr/public/classic/en/offres/2026-10049,security,non-Paris location,Some technical relevance
2,2026-10053,"2026-10053 - Post-Doctoral Research Visit F/M Embedded Systems, Neural Networks and Privacy-preserving Embedded Edge AI Techniques",https://jobs.inria.fr/public/classic/en/offres/2026-10053,security,,Some technical relevance
2,2026-10057,2026-10057 - Post-Doctoral Research Visit F/M From the ocean to the stars: SciML to accelerate scientific research,https://jobs.inria.fr/public/classic/en/offres/2026-10057,security,,Some technical relevance
2,2026-10059,2026-10059 - PhD Position F/M PhD - Robust few-shot learning for foundational model in CT imaging,https://jobs.inria.fr/public/classic/en/offres/2026-10059,security,,Some technical relevance
2,2026-10067,2026-10067 - Assistant-e de service,https://jobs.inria.fr/public/classic/en/offres/2026-10067,security,non-Paris location,Some technical relevance
2,2026-10068,2026-10068 - Responsable de Service d&#039;Expérimentation et de Développement,https://jobs.inria.fr/public/classic/en/offres/2026-10068,security,,Some technical relevance
2,2026-10069,2026-10069 - Doctorant F/H Perception et interaction via des Avatars en réalité virtuelle,https://jobs.inria.fr/public/classic/en/offres/2026-10069,security,non-Paris location,Some technical relevance
2,2026-10072,2026-10072 - Chargé des Partenariats et de Projet d’Innovation (CPPI) H/F,https://jobs.inria.fr/public/classic/en/offres/2026-10072,security,non-Paris location,Some technical relevance
2,2026-10076,2026-10076 - PhD Position F/M Distributed Training of Machine Learning Models with Malicious Clients,https://jobs.inria.fr/public/classic/en/offres/2026-10076,security,non-Paris location,Some technical relevance
2,2026-10077,2026-10077 - Project Manager for Digital Twins of Territories,https://jobs.inria.fr/public/classic/en/offres/2026-10077,security,,Some technical relevance
2,2026-10084,2026-10084 - Assistant-e administratif-ve d’équipes de recherche,https://jobs.inria.fr/public/classic/en/offres/2026-10084,security,non-Paris location,Some technical relevance
2,2026-10085,2026-10085 - PhD Position F/M Use of short distances for gradient descent in seismic imaging via full-waveform inversion,https://jobs.inria.fr/public/classic/en/offres/2026-10085,security,non-Paris location,Some technical relevance
2,2026-10090,2026-10090 - Apprenti.e chargé.e de communication et médiation scientifique,https://jobs.inria.fr/public/classic/en/offres/2026-10090,security,,Some technical relevance
2,2026-10091,2026-10091 - Apprenti.e chargé.e de communication,https://jobs.inria.fr/public/classic/en/offres/2026-10091,security,,Some technical relevance
2,2026-10092,"2026-10092 - Ingénieur scientifique contractuel / Biologie et santé, Sciences de la vie, Epidémiologie/ Approches stochastiques /",https://jobs.inria.fr/public/classic/en/offres/2026-10092,security,,Some technical relevance
2,2026-10094,2026-10094 - PhD Position F/M PhD - Building a foundational model for abdominal CT imaging,https://jobs.inria.fr/public/classic/en/offres/2026-10094,security,,Some technical relevance
2,2026-10098,2026-10098 - Post-Doctorant F/H Réseaux linéaires profonds,https://jobs.inria.fr/public/classic/en/offres/2026-10098,security,,Some technical relevance
2,2026-10100,2026-10100 - Gestionnaire de projet du programme PEPR NumEco (Numérique Eco-responsable),https://jobs.inria.fr/public/classic/en/offres/2026-10100,security,non-Paris location,Some technical relevance
2,2026-10101,2026-10101 - Post-Doctorant F/H Automatisation de la cryptalayse symmetrique,https://jobs.inria.fr/public/classic/en/offres/2026-10101,security,,Some technical relevance
2,2026-10103,2026-10103 - Gestionnaire paie (h/f),https://jobs.inria.fr/public/classic/en/offres/2026-10103,security,non-Paris location,Some technical relevance
2,2026-10108,2026-10108 - Stage dans le cadre de l’élaboration du Schéma Directeur Développement Durable et Responsabilité Sociétale &amp; Environnementale,https://jobs.inria.fr/public/classic/en/offres/2026-10108,security,non-Paris location,Some technical relevance
2,2026-10109,2026-10109 - Ingénieur(e) de recherche en métrologie énergétique et environnementale de systèmes informatiques distribués,https://jobs.inria.fr/public/classic/en/offres/2026-10109,security,,Some technical relevance
2,2026-10111,2026-10111 - Software engineer for MAPIE – P16 (M/F),https://jobs.inria.fr/public/classic/en/offres/2026-10111,security,,Some technical relevance
2,2026-10112,"2026-10112 - Responsable du Service Transfert, Innovation et Partenariats (F/H)",https://jobs.inria.fr/public/classic/en/offres/2026-10112,security,non-Paris location,Some technical relevance
2,2026-10114,2026-10114 - Post-Doctoral Research Visit F/M Crowd dynamics data acquisition and processing for large-scale dataset construction,https://jobs.inria.fr/public/classic/en/offres/2026-10114,security,non-Paris location,Some technical relevance
2,2026-10115,2026-10115 - Post-Doctoral Research Visit F/M Learning crowd dynamics from real-world data,https://jobs.inria.fr/public/classic/en/offres/2026-10115,security,non-Paris location,Some technical relevance
2,2026-10124,2026-10124 - Doctorant F/H Modélisation statistique et apprentissage automatique pour le suivi de la biodiversité végétale,https://jobs.inria.fr/public/classic/en/offres/2026-10124,security,non-Paris location,Some technical relevance
2,2026-10130,2026-10130 - PhD Position F/M Defending deployed AI models: manipulation as a countermeasure,https://jobs.inria.fr/public/classic/en/offres/2026-10130,security,non-Paris location,Some technical relevance
2,2026-10132,2026-10132 - Post-Doctoral Research Visit F/M Structured matrices for geometric computations,https://jobs.inria.fr/public/classic/en/offres/2026-10132,security,,Some technical relevance
2,2026-10139,2026-10139 - Ingénieur Management de projet Domaine Agri-Agro &amp; Numérique,https://jobs.inria.fr/public/classic/en/offres/2026-10139,security,non-Paris location,Some technical relevance
2,2026-10140,2026-10140 - Ingénieur H/F Anonymisation acoustique et sémantique de la parole.,https://jobs.inria.fr/public/classic/en/offres/2026-10140,security,non-Paris location,Some technical relevance
2,2026-10142,2026-10142 - Anisotropic mesh adaptation for nonlinear dispersive water wave propagation in coastal areas,https://jobs.inria.fr/public/classic/en/offres/2026-10142,security,non-Paris location,Some technical relevance
2,2026-10143,2026-10143 - PhD Position F/M Optimal Control and Experimental Design (Project OCARINA),https://jobs.inria.fr/public/classic/en/offres/2026-10143,security,non-Paris location,Some technical relevance
2,2026-10144,2026-10144 - Chef-Cheffe de produit AI Factory France,https://jobs.inria.fr/public/classic/en/offres/2026-10144,security,,Some technical relevance
2,2026-10145,2026-10145 - Doctorant F/H Méthodes de compression sparse grid et matrice hiérarchique pour équations intégrales,https://jobs.inria.fr/public/classic/en/offres/2026-10145,security,non-Paris location,Some technical relevance
2,2026-10147,"2026-10147 - Responsable de plateforme de données sur l’antibiorésistance : maintenance, exploitation et analyse de données",https://jobs.inria.fr/public/classic/en/offres/2026-10147,security,non-Paris location,Some technical relevance
2,2026-10149,2026-10149 - PhD Position F/M PhD Thesis: Speech Enhancement with Distributed Microphone Arrays by Combining Acoustics and Machine Learning,https://jobs.inria.fr/public/classic/en/offres/2026-10149,security,non-Paris location,Some technical relevance
2,2026-10153,2026-10153 - Chargé/e de mission relations institutionnelles,https://jobs.inria.fr/public/classic/en/offres/2026-10153,security,,Some technical relevance
2,2026-10160,"2026-10160 - Post-Doctorant F/H Modélisation des effets de la stimulation électrique appliquée à la substance blanche du cerveau: modèles biophysiques d&#039;axones, équations de câbles en tenant compte des contraintes anatomiques",https://jobs.inria.fr/public/classic/en/offres/2026-10160,security,non-Paris location,Some technical relevance
2,2026-10161,2026-10161 - PhD Position F/M Study of Optimal Solutions of Delsarte&#039;s Linear Program and Application to Regev&#039;s Reduction,https://jobs.inria.fr/public/classic/en/offres/2026-10161,security,,Some technical relevance
2,2026-10162,2026-10162 - Stage Ingénieur IA en computer vision – Inria Startup Studio,https://jobs.inria.fr/public/classic/en/offres/2026-10162,security,non-Paris location,Some technical relevance
2,2026-10164,2026-10164 - Post-Doctoral Research Visit F/M Multi-modal Co-Learning for sensor-specific FMs,https://jobs.inria.fr/public/classic/en/offres/2026-10164,security,non-Paris location,Some technical relevance
2,2026-10170,2026-10170 - Post-Doctoral Research Visit F/M Post-Doctoral Research F/M in energetic cost of fault-tolerant quantum computing,https://jobs.inria.fr/public/classic/en/offres/2026-10170,security,non-Paris location,Some technical relevance
2,2026-10173,2026-10173 - Post-Doctoral Research Visit F/M Investigating the Capacities of Foundation Models for 3D Scene Creation and Editing,https://jobs.inria.fr/public/classic/en/offres/2026-10173,security,non-Paris location,Some technical relevance
2,2026-10174,2026-10174 - Chargé d’affaires mobilières et patrimoniales H/F,https://jobs.inria.fr/public/classic/en/offres/2026-10174,security,non-Paris location,Some technical relevance
2,2026-10176,"2026-10176 - Research engineer, greenhouse gas emissions retrieval by satellite and uncertainty quantification (24 months)",https://jobs.inria.fr/public/classic/en/offres/2026-10176,security,non-Paris location,Some technical relevance
